Title,Genres,Score,Popularity,Year
Pocket Monsters: Coco,"Action, Adventure, Fantasy",72.0,9333,2020
Dorohedoro: Ma no Omake,"Comedy, Fantasy, Horror",71.0,19646,2020
LALALACOCO,Comedy,,109,2020
Marumaru Manul,Comedy,,193,2020
Tomika Kizuna Gattai: Earth Granner,"Action, Adventure, Mecha, Sci-Fi",48.0,635,2020
OBSOLETE Part II,"Mecha, Sci-Fi",56.0,669,2020
Marulk-chan no Nichijou,Slice of Life,66.0,9365,2020
Mobile Suit Gakuen: Kaette Kita G-Reco Koushien,Comedy,,244,2020
Saezuru Doubutsu wa Yarushikanai!,Comedy,55.0,459,2020
Digimon Adventure:,"Action, Adventure, Fantasy, Sci-Fi",62.0,19070,2020
Kidou Senshi Gundam G40,"Action, Mecha, Sci-Fi",54.0,1555,2020
Fugou Keiji: Balance:UNLIMITED,"Action, Comedy, Mystery, Sci-Fi",74.0,142635,2020
Zashiki-Warashi no Tatami-chan,"Comedy, Supernatural",45.0,2077,2020
Kandagawa JET GIRLS OVA,"Ecchi, Sports",51.0,2670,2020
Battle Spirits: Kakumei no Gallet,"Adventure, Sci-Fi",54.0,529,2020
Rebecca,Slice of Life,59.0,784,2020
Michiru Rescue!,,,230,2020
Fukai ni Nemuru Oujo no Abaddon THE ANIMATION,"Hentai, Horror, Mystery, Supernatural",49.0,722,2020
Ometeotl≠HERO,Sci-Fi,,267,2020
Niplheim no Karyuudo,Hentai,46.0,634,2020
Nakitai Watashi wa Neko wo Kaburu,"Drama, Fantasy, Romance",72.0,151650,2020
Heya Camp△: Sauna to Gohan to Sanrin Bike,Slice of Life,74.0,7885,2020
D4DJ First Mix,"Music, Slice of Life",74.0,16345,2020
Suketto Sanjou!! THE ANIMATION,"Hentai, Sports",64.0,2785,2020
Kouya no Kotobuki Hikoutai: Kanzenban,"Action, Adventure",50.0,863,2020
Digimon Adventure: 20th Memorial Story,"Comedy, Drama, Sci-Fi, Slice of Life",64.0,2295,2020
Uzaki-chan wa Asobitai!,"Comedy, Ecchi, Romance, Slice of Life",67.0,120001,2020
Sotsugyou Chikan Densha,Hentai,46.0,1043,2020
Chiisana Tsubomi no Sono Oku ni...,Hentai,62.0,3075,2020
Yarichin Kateikyoushi Netori Houkoku: Dosukebe Kyonyuu Oyakodon,Hentai,67.0,4070,2020
Ane wa Yanmama Junyuu-chuu,Hentai,74.0,9768,2020
Bessatsu Olympia Kyklos,"Comedy, Fantasy, Slice of Life, Sports",66.0,6368,2020
Poccolies,"Comedy, Fantasy",,156,2020
Haikyuu!! Ningyou Anime,Sports,64.0,4126,2020
Kami no Tou: Tower of God,"Action, Adventure, Drama, Fantasy, Mystery",74.0,274752,2020
Haritsuke,Hentai,50.0,1262,2020
Cinderella Girls Gekijou: Extra Stage,"Comedy, Music, Slice of Life",58.0,965,2020
Majutsushi Orphen Hagure Tabi: Tenjin no Isan,"Action, Adventure, Fantasy",58.0,3457,2020
Watanuki-san Chi to,"Drama, Slice of Life",46.0,654,2020
Cardfight!! Vanguard Gaiden: if,"Action, Adventure, Comedy, Mahou Shoujo",62.0,1649,2020
"Tenioha! 2: Limit Over - Mada Mada Ippai, Ecchi Shiyo? THE ANIMATION",Hentai,64.0,1772,2020
Meltys Quest,Hentai,55.0,1006,2020
Altered Carbon: Resleeved,"Action, Drama, Sci-Fi",61.0,2904,2020
Kamitachi ni Hirowareta Otoko,"Adventure, Fantasy, Slice of Life",68.0,59275,2020
Kyouryuu Shoujo Gauko Season 2,"Comedy, Slice of Life",56.0,406,2020
Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de… ,"Ecchi, Hentai, Romance",56.0,5538,2020
Komatta Jii-san,Comedy,58.0,1352,2020
NOBLESSE,"Action, Supernatural",65.0,80595,2020
THE GOD OF HIGH SCHOOL,"Action, Comedy, Supernatural",69.0,250273,2020
One Room: Third Season,"Romance, Slice of Life",61.0,10588,2020
Shin Evangelion Movie:||,"Action, Drama, Mecha, Psychological, Sci-Fi",85.0,93628,2021
Alice in Deadly School,"Supernatural, Thriller",50.0,6492,2021
Megaton-kyuu Musashi,Mecha,59.0,5100,2021
EUREKA: Koukyoushihen Eureka Seven Hi-Evolution,"Action, Adventure, Drama, Mecha, Sci-Fi",61.0,4159,2021
Sidonia no Kishi: Ai Tsumugu Hoshi,"Action, Drama, Mecha, Sci-Fi",72.0,7498,2021
Eiga Daisuki Pompo-san,"Comedy, Drama",81.0,22275,2021
Etotama: Nyankyaku Banrai,"Action, Comedy, Fantasy",60.0,2788,2021
Princess Principal: Crown Handler - Chapter 1,"Action, Adventure, Sci-Fi",75.0,15548,2021
B: The Beginning Succession,"Action, Mystery, Psychological, Supernatural, Thriller",61.0,24685,2021
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Paladin; Agateram,"Action, Fantasy",75.0,24868,2021
"Kumo desu ga, Nani ka?","Action, Adventure, Comedy, Fantasy, Mystery",72.0,118843,2021
Bishoujo Senshi Sailor Moon: Eternal - Kouhen,"Drama, Fantasy, Mahou Shoujo, Romance",76.0,8287,2021
Bishoujo Senshi Sailor Moon: Eternal - Zenpen,"Drama, Fantasy, Mahou Shoujo, Romance",74.0,9415,2021
BEAN BANDIT,Action,46.0,1923,2021
Yuru Camp△ SEASON 2,"Comedy, Slice of Life",84.0,67021,2021
Shikizakura,Sci-Fi,53.0,5286,2021
Kidou Senshi Gundam: Senkou no Hathaway,"Action, Drama, Mecha, Sci-Fi",78.0,13984,2021
BLADE RUNNER: BLACK LOTUS,Sci-Fi,58.0,8208,2021
EX-ARM,"Action, Sci-Fi",21.0,22820,2021
Free!: the Final Stroke - Zenpen,"Drama, Slice of Life, Sports",76.0,21688,2021
Cider no You ni Kotoba ga Wakiagaru,"Romance, Slice of Life",74.0,81021,2021
Kobayashi-san Chi no Maidragon S,"Comedy, Fantasy, Slice of Life",82.0,139955,2021
Mushoku Tensei: Isekai Ittara Honki Dasu,"Adventure, Drama, Ecchi, Fantasy",82.0,335247,2021
Tensei Shitara Slime Datta Ken 2nd Season,"Action, Adventure, Comedy, Fantasy",83.0,246886,2021
Hataraku Saibou!!,"Action, Comedy, Sci-Fi",72.0,78124,2021
Yakusoku no Neverland 2,"Action, Adventure, Drama, Fantasy, Horror, Psychological, Thriller",51.0,279152,2021
Sakugan,"Adventure, Mecha, Sci-Fi",63.0,29753,2021
I★CHU: HALFWAY THROUGH THE IDOL,Music,62.0,5543,2021
Eden,"Adventure, Sci-Fi",61.0,8132,2021
Go-toubun no Hanayome ∬,"Comedy, Drama, Romance, Slice of Life",79.0,181513,2021
Non Non Biyori: Nonstop,"Comedy, Slice of Life",83.0,34939,2021
MUTEKING THE Dancing HERO,"Action, Comedy, Music, Sci-Fi",56.0,2792,2021
Super Crooks,"Action, Drama, Thriller",71.0,29559,2021
Vlad Love,"Comedy, Supernatural",55.0,12748,2021
Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari,"Action, Adventure",66.0,5487,2021
Shingeki no Kyojin: The Final Season,"Action, Drama, Fantasy, Mystery",86.0,514011,2021
Zombie Land Saga: Revenge,"Comedy, Music, Supernatural",79.0,60929,2021
Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,"Action, Sci-Fi",73.0,2566,2021
"Dragon, Ie wo Kau.","Comedy, Fantasy",59.0,16237,2021
Jaku-Chara Tomozaki-kun,"Comedy, Drama, Romance, Slice of Life",70.0,112327,2021
"Slime Taoshite 300-nen, Shiranai Uchi ni Level MAX ni Nattemashita","Adventure, Comedy, Fantasy, Slice of Life",69.0,107040,2021
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,"Adventure, Comedy, Fantasy",62.0,74927,2021
Muv-Luv Alternative,"Action, Drama, Mecha, Romance, Sci-Fi",54.0,13412,2021
Uramichi Oniisan,"Comedy, Slice of Life",76.0,71084,2021
Shoujo☆Kageki Revue Starlight Movie,"Action, Drama, Music, Psychological",87.0,15598,2021
2.43: Seiin Koukou Danshi Volley-bu,"Drama, Slice of Life, Sports",59.0,42297,2021
Ryouma! The Prince of Tennis Shinsei Tennis no Ouji-sama,"Action, Comedy, Sports",54.0,1380,2021
NOMAD: Megalo Box 2,"Action, Drama, Sci-Fi, Sports",81.0,50057,2021
KAIJU DECODE,"Action, Sci-Fi",,796,2021
Super Cub,Slice of Life,72.0,39215,2021
Kaifuku Jutsushi no Yarinaoshi,"Action, Adventure, Ecchi, Fantasy",57.0,122081,2021
Bishounen Tanteidan,"Comedy, Mystery, Sci-Fi",69.0,43534,2021
SHOW BY ROCK!! STARS!!,"Comedy, Music",71.0,4581,2021
Skate-Leading☆Stars,"Drama, Sports",62.0,13988,2021
planetarian: Snow Globe,"Drama, Fantasy, Romance, Sci-Fi",70.0,4678,2021
Meitantei Conan: Hiiro no Dangan,"Action, Drama, Mystery",77.0,6591,2021
Seitokai Yakuindomo Movie 2,"Comedy, Slice of Life",75.0,9595,2021
Ousama Ranking,"Action, Adventure, Drama, Fantasy",84.0,174954,2021
IDOLY PRIDE,"Drama, Music, Slice of Life, Supernatural",71.0,22012,2021
Dr. STONE: STONE WARS,"Action, Adventure, Comedy, Sci-Fi",81.0,267586,2021
SSSS.DYNAZENON,"Action, Mecha, Romance, Sci-Fi",74.0,43339,2021
